PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
1630574,Ariel Hukporti,Ariel,1610612752,NYK,24.0,8,8,0,1.0,70.355,5,11,0.455,0,1,0.0,7,15,0.467,13,18,31,2,5,2,5,1,17,10,17,7,73.2,0,0,64.0,84,32,1,1,144,158,167,97,170,183,170,99,81,173,40,95,77,165,114,124,50,74,141,101,153,52,131,49,5,133,1
202687,Bismack Biyombo,Bismack,1610612759,SAS,33.0,9,7,2,0.778,24.73,3,7,0.429,0,0,0.0,0,0,0.0,1,2,3,0,2,0,2,1,4,0,6,-1,13.6,0,0,13.0,74,45,26,19,182,176,182,118,170,198,170,184,187,184,165,183,182,200,152,182,94,74,64,200,188,96,192,49,5,192,1
1642868,Carter Bryant,Carter,1610612759,SAS,20.0,20,13,7,0.65,175.87666666666667,20,41,0.488,11,28,0.393,2,6,0.333,9,26,35,15,13,2,6,1,39,4,53,17,128.5,0,0,130.0,7,7,197,39,91,101,106,69,63,77,54,143,122,178,66,69,70,80,57,124,41,74,209,139,106,35,102,49,5,95,1
1628368,De'Aaron Fox,De'Aaron,1610612759,SAS,28.0,19,12,7,0.632,629.9283333333333,116,271,0.428,25,85,0.294,45,60,0.75,10,64,74,113,38,23,8,20,50,53,302,117,615.3,1,0,576.0,10,17,197,40,8,7,7,120,21,11,116,18,17,95,59,21,26,3,10,8,24,229,224,13,9,13,10,32,5,10,1
1630170,Devin Vassell,Devin,1610612759,SAS,25.0,21,13,8,0.619,721.25,94,226,0.416,49,135,0.363,31,38,0.816,18,92,110,56,21,26,16,2,43,26,268,159,589.0,1,0,567.0,1,7,213,41,1,15,9,130,3,3,69,29,35,69,26,7,12,14,31,5,9,107,214,48,13,7,11,32,5,11,1
1642844,Dylan Harper,Dylan,1610612759,SAS,20.0,21,13,8,0.619,551.9733333333334,102,202,0.505,18,59,0.305,57,67,0.851,27,92,119,55,32,22,4,15,45,44,279,141,550.3,3,0,523.0,1,7,213,41,11,9,13,49,35,26,111,10,13,53,17,7,8,16,15,9,65,220,217,19,12,10,13,9,5,13,1
203084,Harrison Barnes,Harrison,1610612759,SAS,34.0,20,12,8,0.6,182.87666666666667,13,39,0.333,6,26,0.231,14,17,0.824,16,10,26,5,5,2,1,0,8,15,46,38,88.7,0,0,89.0,7,17,213,47,90,122,108,175,95,83,150,70,75,67,30,132,90,132,114,124,115,1,87,74,112,28,122,49,5,120,1
1628973,Jalen Brunson,Jalen,1610612752,NYK,29.0,17,14,3,0.824,615.9366666666666,166,361,0.46,38,110,0.345,88,104,0.846,10,42,52,105,45,18,0,18,38,92,458,213,686.9,1,0,689.0,17,1,49,9,9,2,2,91,6,5,84,6,6,54,59,39,42,4,7,19,154,225,205,4,3,2,6,32,5,4,1
1631110,Jeremy Sochan,Jeremy,1610612752,NYK,23.0,6,5,1,0.833,22.725,7,8,0.875,1,2,0.5,5,8,0.625,1,4,5,2,1,1,1,0,2,5,20,-14,34.0,0,0,32.0,119,65,6,8,184,147,176,6,152,170,16,114,105,137,165,167,171,165,175,152,115,1,39,130,145,154,161,49,5,160,1
203903,Jordan Clarkson,Jordan,1610612752,NYK,34.0,16,13,3,0.813,184.30166666666668,33,69,0.478,4,16,0.25,15,19,0.789,17,12,29,11,14,4,1,2,22,11,85,87,137.3,0,0,139.0,26,7,49,15,89,68,75,75,112,101,136,67,69,84,28,123,83,100,52,98,115,107,167,95,71,14,96,49,5,93,1
1629162,Jordan McLaughlin,Jordan,1610612759,SAS,30.0,10,7,3,0.7,46.07666666666667,7,11,0.636,3,5,0.6,2,2,1.0,2,6,8,10,2,2,0,0,3,2,19,-3,47.6,0,0,44.0,63,45,49,35,158,147,167,22,122,149,12,143,153,1,147,150,153,104,152,124,154,1,50,163,149,112,145,49,5,149,1
1630631,Jose Alvarado,Jose,1610612752,NYK,28.0,16,13,3,0.813,143.08833333333334,26,58,0.448,10,29,0.345,5,6,0.833,2,20,22,18,9,10,2,4,15,8,67,85,147.4,0,0,141.0,26,7,49,15,108,88,89,103,68,76,85,114,122,58,147,86,103,71,79,45,94,149,128,112,94,16,89,49,5,91,1
1628404,Josh Hart,Josh,1610612752,NYK,31.0,17,14,3,0.824,541.8516666666667,69,159,0.434,24,78,0.308,17,27,0.63,17,134,151,79,33,30,4,11,45,32,179,175,547.7,3,0,501.0,17,1,49,9,13,23,22,116,24,12,108,58,47,136,28,3,3,8,14,3,65,206,217,36,27,5,14,9,5,15,1
1630577,Julian Champagnie,Julian,1610612759,SAS,24.0,21,13,8,0.619,641.15,80,178,0.449,56,139,0.403,23,30,0.767,19,100,119,32,9,25,12,7,47,20,239,141,531.8,1,0,520.0,1,7,213,41,6,20,16,101,1,2,44,41,43,93,25,5,8,40,79,6,14,187,220,64,16,10,16,32,5,14,1
1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,30.0,17,14,3,0.824,529.4633333333334,98,175,0.56,25,54,0.463,66,73,0.904,45,136,181,91,42,21,23,12,67,71,287,245,730.7,11,2,672.0,17,1,49,9,15,11,18,37,21,35,29,8,12,33,4,2,2,7,8,11,5,212,229,9,11,1,3,1,1,5,1
1629640,Keldon Johnson,Keldon,1610612759,SAS,26.0,21,13,8,0.619,376.375,63,152,0.414,19,54,0.352,24,41,0.585,25,42,67,19,24,14,3,13,48,28,169,17,304.9,0,0,308.0,1,7,213,41,32,28,23,131,30,35,79,39,31,145,18,39,30,67,22,29,78,214,221,44,30,35,40,49,5,36,1
203482,Kelly Olynyk,Kelly,1610612759,SAS,35.0,9,7,2,0.778,35.03,8,15,0.533,5,8,0.625,4,7,0.571,0,7,7,3,4,4,0,0,3,6,25,5,45.9,0,0,48.0,74,45,26,19,170,143,151,43,99,133,10,123,116,147,191,143,159,150,124,98,154,1,50,124,143,59,148,49,5,145,1
1629013,Landry Shamet,Landry,1610612752,NYK,29.0,17,14,3,0.824,276.02,37,76,0.487,28,55,0.509,7,9,0.778,5,13,18,13,8,4,2,2,30,15,109,68,160.1,0,0,180.0,17,1,49,9,50,63,73,71,18,31,15,99,101,88,105,115,120,93,88,98,94,107,191,74,60,17,83,49,5,74,1
1630322,Lindy Waters III,Lindy,1610612759,SAS,28.0,9,8,1,0.889,33.78,6,13,0.462,3,8,0.375,0,0,0.0,3,3,6,4,1,1,0,0,2,0,15,6,30.2,0,0,30.0,74,32,6,7,172,151,160,86,122,133,60,184,187,184,128,174,164,138,175,152,154,1,39,200,159,56,164,49,5,164,1
1628436,Luke Kornet,Luke,1610612759,SAS,30.0,21,13,8,0.619,281.49333333333334,33,57,0.579,1,1,1.0,17,22,0.773,39,49,88,16,11,13,16,6,37,22,84,-30,289.6,1,0,247.0,1,7,213,41,49,68,92,32,152,183,1,58,63,90,8,33,20,75,64,33,9,172,204,56,74,185,42,32,5,49,1
203486,Mason Plumlee,Mason,1610612759,SAS,36.0,6,4,2,0.667,18.383333333333333,2,3,0.667,0,0,0.0,0,0,0.0,0,4,4,2,1,0,3,1,4,1,4,-2,19.8,0,0,16.0,119,69,26,36,192,186,201,15,170,198,170,184,187,184,191,167,177,165,175,182,78,74,64,178,198,105,183,49,5,186,1
1628969,Mikal Bridges,Mikal,1610612752,NYK,29.0,17,14,3,0.824,541.4783333333334,97,169,0.574,19,53,0.358,22,23,0.957,7,50,57,46,17,19,5,5,35,34,235,191,427.4,0,0,405.0,17,1,49,9,14,13,21,34,30,39,73,43,60,24,80,32,39,20,37,17,50,156,200,35,17,4,21,49,5,21,1
1630540,Miles McBride,Miles,1610612752,NYK,25.0,17,14,3,0.824,314.34166666666664,35,99,0.354,30,74,0.405,7,8,0.875,9,14,23,22,10,8,4,5,33,10,107,152,193.6,0,0,206.0,17,1,49,9,46,65,48,171,15,15,42,99,105,40,66,107,100,61,73,56,65,156,196,101,61,8,68,49,5,61,1
1629011,Mitchell Robinson,Mitchell,1610612752,NYK,28.0,16,13,3,0.813,217.93166666666667,33,45,0.733,0,0,0.0,17,52,0.327,38,46,84,4,7,7,9,1,25,37,83,40,230.8,0,0,203.0,26,7,49,15,74,68,102,10,170,198,170,58,20,183,9,35,24,138,96,63,23,74,176,26,75,24,55,49,5,63,1
1642885,Mohamed Diawara,Mohamed,1610612752,NYK,21.0,6,6,0,1.0,42.6,3,13,0.231,1,6,0.167,0,0,0.0,1,8,9,6,3,1,0,0,3,0,7,-12,26.8,0,0,25.0,119,57,1,1,161,176,160,205,152,146,160,184,187,184,165,138,148,123,138,152,154,1,50,200,184,149,169,49,5,170,1
1628384,OG Anunoby,OG,1610612752,NYK,28.0,15,12,3,0.8,511.60833333333335,98,172,0.57,36,76,0.474,66,77,0.857,14,81,95,27,8,22,17,13,38,53,298,162,561.5,2,0,534.0,29,17,49,18,17,11,19,35,9,14,26,8,10,50,36,10,17,53,88,9,7,214,205,13,10,6,12,20,5,12,1
1642359,Pacôme Dadiet,Pacôme,1610612752,NYK,20.0,7,7,0,1.0,39.95,8,16,0.5,3,8,0.375,1,2,0.5,2,5,7,3,2,2,0,1,1,1,20,-3,36.9,0,0,37.0,89,45,1,1,166,143,148,51,122,133,60,165,153,152,147,156,159,150,152,124,154,74,26,178,145,112,157,49,5,154,1
1642264,Stephon Castle,Stephon,1610612759,SAS,21.0,21,13,8,0.619,702.4566666666667,133,279,0.477,34,94,0.362,99,122,0.811,30,76,106,132,74,20,8,19,80,115,399,87,734.2,3,0,727.0,1,7,213,41,2,4,6,80,12,9,70,4,4,73,12,12,14,1,3,16,24,227,230,2,5,14,2,9,5,2,1
1642278,Tyler Kolek,Tyler,1610612752,NYK,25.0,8,8,0,1.0,53.348333333333336,11,25,0.44,4,9,0.444,2,2,1.0,1,5,6,12,3,0,1,1,3,2,28,-6,53.2,0,0,52.0,84,32,1,1,153,128,131,111,112,128,33,143,153,1,165,156,164,96,138,182,115,74,50,163,137,131,143,49,5,142,1
1641705,Victor Wembanyama,Victor,1610612759,SAS,22.0,20,12,8,0.6,668.62,160,319,0.502,36,100,0.36,125,145,0.862,44,168,212,56,57,21,70,7,51,142,481,198,1035.4,10,1,967.0,7,17,213,47,4,3,3,50,9,8,71,2,2,47,6,1,1,14,4,11,1,187,225,1,1,3,1,2,3,1,1
